line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    7.699992  3.371712  4.362687  7.4257140E-01  2.5338650E-01  6.5232928E-04  7.9164101E-06  1.8821658E-04  1.6338501E-03  6.4731466E-07  3.6856402E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3178  4.362687  -11.002  1.271982  7.521769  7.3956192E-01  2.5638802E-01  9.4684924E-06  2.5713037E-06  1.3477365E-03  1.1718500E-03  5.5214106E-06  1.2554605E-08  5.3625424E-04  4.3373812E-05  0.000E+00  2.039E-04  1.983E-04  8.028E-01  1.339E+00  6.08E+02  0.00E+00  4.68E+02  0.926075  0.008491  0.0000000E+00  8.5964493419E-02       4.477     2.65   -3.6793   -1.2642   -0.8943   -0.2649   -0.1126   -0.3331   -0.1624   -0.0250   -0.6833   -2.4151
  2  1.040921150681441E+06    7.699973  3.377205  4.371582  7.4257140E-01  2.5338650E-01  6.5232928E-04  7.9164101E-06  1.8821658E-04  1.6338501E-03  6.4731466E-07  3.6856402E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3166  4.371582  -11.034  1.252165  7.516488  7.3140920E-01  2.6460476E-01  1.1784570E-05  3.1695265E-06  1.7886491E-03  6.6606120E-04  3.4625528E-06  4.0944515E-09  5.3625424E-04  4.3373812E-05  0.000E+00  1.670E-04  2.150E-04  8.830E-01  1.143E+00  6.01E+02  0.00E+00  3.56E+02  0.784620  0.008598  0.0000000E+00  8.5962117825E-02       4.457     2.71   -3.6930   -1.2367   -0.9080   -0.2686   -0.1144   -0.3374   -0.1650   -0.0257   -0.6954   -2.4563
  3  1.923560041212659E+06    7.699957  3.382114  4.370349  7.4257140E-01  2.5338650E-01  6.5232918E-04  7.9164708E-06  1.8821662E-04  1.6338501E-03  6.4731469E-07  3.6856400E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3143  4.370349  -11.019  1.245031  7.515101  7.2336630E-01  2.7267708E-01  1.3004490E-05  3.4942420E-06  1.9906447E-03  4.3423550E-04  2.3415157E-06  2.0447221E-09  5.3625424E-04  4.3373812E-05  0.000E+00  1.628E-04  2.125E-04  8.851E-01  1.140E+00  5.97E+02  0.00E+00  3.51E+02  0.779503  0.008697  0.0000000E+00  8.5960221548E-02       4.446     2.75   -3.7053   -1.2560   -0.9061   -0.2681   -0.1141   -0.3368   -0.1647   -0.0256   -0.6937   -2.4493
  4  2.795341368663312E+06    7.699940  3.387315  4.369441  7.4257138E-01  2.5338655E-01  6.5231730E-04  7.9218036E-06  1.8822574E-04  1.6338491E-03  6.4732243E-07  3.6856109E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3120  4.369441  -11.001  1.241590  7.514900  7.1520595E-01  2.8085398E-01  1.3739392E-05  3.6908321E-06  2.1040993E-03  3.0399178E-04  1.6590010E-06  1.3832957E-09  5.3625424E-04  4.3373812E-05  0.000E+00  1.606E-04  2.106E-04  8.848E-01  1.141E+00  5.94E+02  0.00E+00  3.49E+02  0.780256  0.008802  0.0000000E+00  8.5958263148E-02       4.437     2.78   -3.7183   -1.2742   -0.9047   -0.2677   -0.1139   -0.3364   -0.1644   -0.0255   -0.6924   -2.4441
  5  3.676614417875189E+06    7.699922  3.392646  4.368766  7.4257112E-01  2.5338674E-01  6.5216129E-04  7.9744528E-06  1.8837196E-04  1.6338269E-03  6.4747490E-07  3.6851666E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3096  4.368766  -10.981  1.239596  7.515218  7.0705705E-01  2.8901250E-01  1.4170974E-05  3.8068157E-06  2.1698223E-03  2.2854935E-04  1.2458291E-06  1.0432687E-09  5.3625424E-04  4.3373812E-05  0.000E+00  1.589E-04  2.090E-04  8.841E-01  1.141E+00  5.92E+02  0.00E+00  3.49E+02  0.782082  0.008910  0.0000000E+00  8.5956223126E-02       4.429     2.80   -3.7316   -1.2914   -0.9037   -0.2674   -0.1138   -0.3360   -0.1642   -0.0255   -0.6915   -2.4402
  6  4.532177998521648E+06    7.699905  3.397842  4.368203  7.4256968E-01  2.5338816E-01  6.5148433E-04  8.1538628E-06  1.8909541E-04  1.6336876E-03  6.4835367E-07  3.6830201E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3071  4.368203  -10.962  1.238219  7.515731  6.9896005E-01  2.9711595E-01  1.4470161E-05  3.8872565E-06  2.2140345E-03  1.7778801E-04  9.6361948E-07  8.0555157E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.573E-04  2.076E-04  8.835E-01  1.143E+00  5.89E+02  0.00E+00  3.48E+02  0.783653  0.009018  0.0000000E+00  8.5954141229E-02       4.422     2.82   -3.7446   -1.3077   -0.9028   -0.2672   -0.1137   -0.3358   -0.1640   -0.0254   -0.6907   -2.4369
  7  5.379053538708252E+06    7.699886  3.403172  4.367723  7.4256507E-01  2.5339260E-01  6.4970110E-04  8.5450265E-06  1.9115906E-04  1.6332373E-03  6.5120498E-07  3.6769701E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3051  4.367723  -10.943  1.237337  7.516376  6.9089513E-01  3.0518488E-01  1.4667742E-05  3.9405750E-06  2.2415954E-03  1.4612977E-04  7.8359345E-07  6.6073543E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.558E-04  2.063E-04  8.827E-01  1.144E+00  5.87E+02  0.00E+00  3.48E+02  0.785465  0.009130  0.0000000E+00  8.5951945944E-02       4.416     2.85   -3.7579   -1.3239   -0.9021   -0.2670   -0.1136   -0.3355   -0.1639   -0.0254   -0.6900   -2.4340
  8  6.218497613655369E+06    7.699867  3.408457  4.367265  7.4255549E-01  2.5340198E-01  6.4640607E-04  9.1609084E-06  1.9518232E-04  1.6322935E-03  6.5739714E-07  3.6652377E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3026  4.367265  -10.923  1.236580  7.517110  6.8283996E-01  3.1324273E-01  1.4825038E-05  3.9827985E-06  2.2597056E-03  1.2528267E-04  6.6434776E-07  5.6266211E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.544E-04  2.051E-04  8.819E-01  1.145E+00  5.85E+02  0.00E+00  3.48E+02  0.787417  0.009243  0.0000000E+00  8.5949693165E-02       4.409     2.87   -3.7711   -1.3399   -0.9014   -0.2668   -0.1135   -0.3353   -0.1637   -0.0254   -0.6894   -2.4313
  9  7.065803677703391E+06    7.699847  3.413961  4.366839  7.4253791E-01  2.5341928E-01  6.4113220E-04  1.0005150E-05  2.0191980E-04  1.6306125E-03  6.6842292E-07  3.6456834E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3007  4.366839  -10.903  1.236074  7.517914  6.7472121E-01  3.2136333E-01  1.4925641E-05  4.0102411E-06  2.2723103E-03  1.1078852E-04  5.7998493E-07  4.9433910E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.531E-04  2.039E-04  8.810E-01  1.146E+00  5.82E+02  0.00E+00  3.48E+02  0.789440  0.009361  0.0000000E+00  8.5947308219E-02       4.402     2.89   -3.7849   -1.3562   -0.9008   -0.2666   -0.1134   -0.3351   -0.1636   -0.0253   -0.6888   -2.4287
