line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    9.599949  3.684284  4.426563  7.4257140E-01  2.5338650E-01  6.5232928E-04  7.9164101E-06  1.8821658E-04  1.6338501E-03  6.4731466E-07  3.6856402E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3463  4.426563   -9.882  1.163320  7.543405  7.3956663E-01  2.5638691E-01  9.7020664E-06  2.6220328E-06  1.3742928E-03  1.1421680E-03  4.4475838E-06  6.8239933E-09  5.3612629E-04  3.3947520E-05  4.745E-07  1.428E-04  1.394E-04  9.070E-01  1.111E+00  6.33E+02  0.00E+00  3.33E+02  0.718029  0.013940  0.0000000E+00  1.0294676941E-01       4.451     3.05   -4.4607   -1.7782   -0.9870   -0.2855   -0.1225   -0.3584   -0.1795   -0.0285   -0.7593   -2.6825
  2  6.777271829728005E+05    9.599814  3.690175  4.427915  7.4257140E-01  2.5338650E-01  6.5232928E-04  7.9164101E-06  1.8821658E-04  1.6338501E-03  6.4731466E-07  3.6856402E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3449  4.427915   -9.873  1.142933  7.537936  7.3129582E-01  2.6472165E-01  1.2328188E-05  3.3230366E-06  1.8144867E-03  6.3624484E-04  2.8229097E-06  3.3269428E-09  5.3588376E-04  3.3727176E-05  9.097E-07  1.191E-04  1.500E-04  9.356E-01  1.075E+00  6.26E+02  0.00E+00  2.75E+02  0.616871  0.014130  0.0000000E+00  1.0293062459E-01       4.433     3.12   -4.4754   -1.7874   -0.9889   -0.2858   -0.1226   -0.3588   -0.1798   -0.0286   -0.7609   -2.6881
  3  1.268448810754955E+06    9.599693  3.695410  4.426775  7.4257140E-01  2.5338650E-01  6.5232927E-04  7.9164169E-06  1.8821658E-04  1.6338501E-03  6.4731466E-07  3.6856402E-06  5.3625424E-04  4.3373812E-05  5.029E-17  0.3425  4.426775   -9.861  1.135882  7.536576  7.2304953E-01  2.7299726E-01  1.3615857E-05  3.6668839E-06  2.0163613E-03  4.0431379E-04  1.8393166E-06  1.6599873E-09  5.3567078E-04  3.3654243E-05  1.024E-06  1.150E-04  1.491E-04  9.379E-01  1.071E+00  6.22E+02  0.00E+00  2.68E+02  0.607225  0.014303  0.0000000E+00  1.0291741756E-01       4.422     3.16   -4.4885   -1.8055   -0.9872   -0.2855   -0.1225   -0.3584   -0.1795   -0.0286   -0.7595   -2.6830
  4  1.814936657685231E+06    9.599577  3.700388  4.425910  7.4257140E-01  2.5338650E-01  6.5232817E-04  7.9171247E-06  1.8821716E-04  1.6338500E-03  6.4731507E-07  3.6856380E-06  5.3625424E-04  4.3373811E-05  2.998E-14  0.3399  4.425910   -9.848  1.132428  7.536338  7.1485057E-01  2.8121258E-01  1.4342150E-05  3.8622494E-06  2.1283460E-03  2.7566125E-04  1.2648601E-06  1.1281687E-09  5.3547381E-04  3.3648961E-05  1.006E-06  1.133E-04  1.479E-04  9.380E-01  1.071E+00  6.19E+02  0.00E+00  2.67E+02  0.606855  0.014469  0.0000000E+00  1.0290477891E-01       4.413     3.19   -4.5010   -1.8218   -0.9860   -0.2853   -0.1224   -0.3581   -0.1793   -0.0285   -0.7585   -2.6792
  5  2.360611790706085E+06    9.599460  3.705557  4.425333  7.4257139E-01  2.5338655E-01  6.5230950E-04  7.9263856E-06  1.8823035E-04  1.6338488E-03  6.4732571E-07  3.6855938E-06  5.3625423E-04  4.3373780E-05  6.680E-13  0.3375  4.425333   -9.834  1.130573  7.536629  7.0672530E-01  2.8934718E-01  1.4775332E-05  3.9790496E-06  2.1927201E-03  2.0168920E-04  9.2403332E-07  8.2601014E-10  5.3528546E-04  3.3653976E-05  9.281E-07  1.120E-04  1.468E-04  9.377E-01  1.072E+00  6.17E+02  0.00E+00  2.66E+02  0.607738  0.014642  0.0000000E+00  1.0289182625E-01       4.406     3.21   -4.5139   -1.8373   -0.9851   -0.2852   -0.1223   -0.3579   -0.1791   -0.0285   -0.7579   -2.6766
  6  2.906279581820390E+06    9.599338  3.710770  4.424851  7.4257124E-01  2.5338667E-01  6.5218812E-04  7.9741246E-06  1.8833416E-04  1.6338349E-03  6.4742106E-07  3.6852651E-06  5.3625423E-04  4.3373521E-05  4.427E-12  0.3349  4.424851   -9.819  1.129367  7.537159  6.9846286E-01  2.9761564E-01  1.5079574E-05  4.0612160E-06  2.2338680E-03  1.5436570E-04  7.0082459E-07  6.3058767E-10  5.3509524E-04  3.3651666E-05  8.343E-07  1.110E-04  1.459E-04  9.375E-01  1.072E+00  6.14E+02  0.00E+00  2.66E+02  0.609052  0.014819  0.0000000E+00  1.0287843095E-01       4.399     3.24   -4.5269   -1.8525   -0.9844   -0.2850   -0.1223   -0.3578   -0.1790   -0.0285   -0.7573   -2.6744
  7  3.438969849901796E+06    9.599216  3.715967  4.424435  7.4257056E-01  2.5338733E-01  6.5179339E-04  8.1034635E-06  1.8871480E-04  1.6337711E-03  6.4781817E-07  3.6840960E-06  5.3625420E-04  4.3372383E-05  1.547E-11  0.3324  4.424435   -9.805  1.128542  7.537801  6.9026416E-01  3.0581826E-01  1.5285645E-05  4.1168235E-06  2.2608340E-03  1.2334159E-04  5.5436688E-07  5.0168570E-10  5.3490761E-04  3.3649823E-05  7.412E-07  1.099E-04  1.450E-04  9.372E-01  1.072E+00  6.12E+02  0.00E+00  2.65E+02  0.610177  0.014998  0.0000000E+00  1.0286489407E-01       4.392     3.27   -4.5399   -1.8674   -0.9838   -0.2849   -0.1222   -0.3576   -0.1789   -0.0284   -0.7568   -2.6725
  8  3.962564823318697E+06    9.599091  3.721153  4.424049  7.4256867E-01  2.5338917E-01  6.5088049E-04  8.3581241E-06  1.8967528E-04  1.6335850E-03  6.4892605E-07  3.6812024E-06  5.3625412E-04  4.3369033E-05  3.637E-11  0.3300  4.424049   -9.790  1.127974  7.538523  6.8213970E-01  3.1394519E-01  1.5432993E-05  4.1566643E-06  2.2777875E-03  1.0380761E-04  4.6170451E-07  4.2115137E-10  5.3472087E-04  3.3652353E-05  6.513E-07  1.089E-04  1.441E-04  9.369E-01  1.073E+00  6.09E+02  0.00E+00  2.65E+02  0.611519  0.015179  0.0000000E+00  1.0285087465E-01       4.386     3.29   -4.5529   -1.8822   -0.9832   -0.2848   -0.1222   -0.3575   -0.1788   -0.0284   -0.7564   -2.6707
  9  4.484713502926048E+06    9.598962  3.726454  4.423667  7.4256467E-01  2.5339318E-01  6.4920128E-04  8.7633093E-06  1.9156210E-04  1.6331812E-03  6.5124896E-07  3.6755999E-06  5.3625395E-04  4.3362180E-05  6.289E-11  0.3277  4.423667   -9.775  1.127591  7.539299  6.7385263E-01  3.2223411E-01  1.5548829E-05  4.1882487E-06  2.2904942E-03  8.9157567E-05  3.9219091E-07  3.5967678E-10  5.3453410E-04  3.3654510E-05  5.702E-07  1.079E-04  1.434E-04  9.366E-01  1.073E+00  6.07E+02  0.00E+00  2.65E+02  0.612871  0.015366  0.0000000E+00  1.0283646825E-01       4.379     3.32   -4.5661   -1.8972   -0.9826   -0.2847   -0.1221   -0.3574   -0.1787   -0.0284   -0.7559   -2.6689
