line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   14.998988  4.247393  4.483127  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3947  4.483127   -8.058  0.874309  7.554873  7.1699060E-01  2.6870800E-01  2.7086846E-05  7.3858610E-06  3.8821705E-03  5.0675595E-03  1.7832198E-05  1.7217038E-08  1.8763026E-03  3.4978164E-05  2.381E-06  9.657E-05  9.517E-05  9.126E-01  1.105E+00  6.50E+02  0.00E+00  3.33E+02  0.700792  0.031159  0.0000000E+00  2.2680166057E-01       4.304     4.52   -5.8685   -2.9262   -1.0669   -0.2986   -0.1287   -0.3771   -0.1949   -0.0310   -0.8251   -2.9423
  2  3.086894583593252E+05   14.996297  4.252887  4.484610  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3932  4.484610   -8.059  0.856435  7.549963  7.0871500E-01  2.7714150E-01  3.2469582E-05  8.8520353E-06  4.9854249E-03  3.7987411E-03  1.6718582E-05  1.8354805E-08  1.8749054E-03  3.4614244E-06  6.647E-06  8.178E-05  1.011E-04  9.372E-01  1.073E+00  6.44E+02  0.00E+00  2.80E+02  0.610159  0.031562  0.0000000E+00  2.2638874980E-01       4.290     4.59   -5.8822   -2.9304   -1.0688   -0.2990   -0.1289   -0.3777   -0.1953   -0.0311   -0.8267   -2.9518
  3  5.686907977523544E+05   14.994008  4.257708  4.482829  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  2.107E-18  0.3916  4.482829   -8.052  0.847175  7.547691  7.0052650E-01  2.8543210E-01  3.6378311E-05  9.8851319E-06  5.6905890E-03  2.9895484E-03  1.3321520E-05  1.0661366E-08  1.8737526E-03  4.6222291E-07  8.889E-06  7.899E-05  9.968E-05  9.389E-01  1.071E+00  6.40E+02  0.00E+00  2.74E+02  0.602983  0.031919  0.0000000E+00  2.2605956049E-01       4.277     4.66   -5.8943   -2.9522   -1.0666   -0.2985   -0.1287   -0.3770   -0.1948   -0.0310   -0.8247   -2.9421
  4  8.286921371453843E+05   14.991680  4.262667  4.481376  7.2000000E-01  2.6595590E-01  2.2831523E-03  2.7707597E-05  6.5875810E-04  5.7184752E-03  2.2656016E-06  1.2899740E-05  1.8768898E-03  1.5180834E-04  7.193E-15  0.3892  4.481376   -8.044  0.840932  7.546434  6.9238110E-01  2.9364930E-01  3.9430910E-05  1.0716453E-05  6.1848382E-03  2.4219251E-03  1.0840713E-05  8.9610036E-09  1.8727272E-03  3.5299022E-07  9.971E-06  7.749E-05  9.811E-05  9.389E-01  1.071E+00  6.36E+02  0.00E+00  2.72E+02  0.602752  0.032290  0.0000000E+00  2.2572490114E-01       4.266     4.72   -5.9067   -2.9724   -1.0648   -0.2982   -0.1285   -0.3765   -0.1944   -0.0309   -0.8231   -2.9342
  5  1.086093463144487E+06   14.989330  4.267814  4.480190  7.2000000E-01  2.6595590E-01  2.2831462E-03  2.7711418E-05  6.5876144E-04  5.7184749E-03  2.2656142E-06  1.2899724E-05  1.8768898E-03  1.5180829E-04  3.926E-13  0.3870  4.480190   -8.035  0.836602  7.545780  6.8416840E-01  3.0191620E-01  4.1900341E-05  1.1388464E-05  6.5581250E-03  1.9930449E-03  8.8663794E-06  7.1467492E-09  1.8717645E-03  2.2238986E-07  1.045E-05  7.623E-05  9.696E-05  9.389E-01  1.071E+00  6.32E+02  0.00E+00  2.71E+02  0.603178  0.032680  0.0000000E+00  2.2538567130E-01       4.256     4.77   -5.9195   -2.9916   -1.0633   -0.2979   -0.1284   -0.3760   -0.1941   -0.0309   -0.8218   -2.9279
  6  1.346033702222758E+06   14.986906  4.273077  4.479305  7.2000000E-01  2.6595590E-01  2.2830889E-03  2.7740428E-05  6.5880190E-04  5.7184707E-03  2.2657726E-06  1.2899540E-05  1.8768898E-03  1.5180756E-04  4.866E-12  0.3849  4.479305   -8.026  0.833580  7.545593  6.7605650E-01  3.1006840E-01  4.3563821E-05  1.1840188E-05  6.8358458E-03  1.6741861E-03  7.4689199E-06  6.2246630E-09  1.8708644E-03  3.5471378E-07  1.049E-05  7.514E-05  9.585E-05  9.386E-01  1.071E+00  6.29E+02  0.00E+00  2.70E+02  0.604045  0.033084  0.0000000E+00  2.2503505299E-01       4.247     4.82   -5.9327   -3.0095   -1.0622   -0.2976   -0.1283   -0.3757   -0.1939   -0.0308   -0.8208   -2.9232
  7  1.601498083243716E+06   14.984471  4.278438  4.478500  7.1999980E-01  2.6595600E-01  2.2828445E-03  2.7844565E-05  6.5899897E-04  5.7184472E-03  2.2665513E-06  1.2898691E-05  1.8768898E-03  1.5180369E-04  2.390E-11  0.3830  4.478500   -8.016  0.831291  7.545613  6.6795220E-01  3.1820450E-01  4.5143480E-05  1.2270997E-05  7.0549155E-03  1.4223090E-03  6.2706718E-06  5.1578813E-09  1.8699959E-03  3.1422069E-07  1.034E-05  7.415E-05  9.494E-05  9.388E-01  1.072E+00  6.25E+02  0.00E+00  2.68E+02  0.603561  0.033501  0.0000000E+00  2.2468147628E-01       4.238     4.87   -5.9461   -3.0271   -1.0612   -0.2974   -0.1282   -0.3754   -0.1937   -0.0308   -0.8199   -2.9190
  8  1.853777122855438E+06   14.982014  4.283693  4.477783  7.1999930E-01  2.6595640E-01  2.2820930E-03  2.8123301E-05  6.5966006E-04  5.7183600E-03  2.2691539E-06  1.2895945E-05  1.8768897E-03  1.5178993E-04  7.757E-11  0.3809  4.477783   -8.007  0.829511  7.545826  6.5983850E-01  3.2634390E-01  4.6317125E-05  1.2590705E-05  7.2314126E-03  1.2194962E-03  5.3576243E-06  4.4488383E-09  1.8691482E-03  3.1677565E-07  1.007E-05  7.327E-05  9.409E-05  9.385E-01  1.072E+00  6.23E+02  0.00E+00  2.67E+02  0.604681  0.033914  0.0000000E+00  2.2432338678E-01       4.230     4.91   -5.9592   -3.0439   -1.0602   -0.2973   -0.1281   -0.3751   -0.1935   -0.0308   -0.8191   -2.9153
  9  2.106056162467159E+06   14.979499  4.289115  4.477135  7.1999810E-01  2.6595760E-01  2.2803441E-03  2.8701337E-05  6.6129696E-04  5.7181271E-03  2.2755208E-06  1.2889354E-05  1.8768895E-03  1.5175462E-04  1.847E-10  0.3788  4.477135   -7.997  0.828190  7.546187  6.5166310E-01  3.3453990E-01  4.7295778E-05  1.2856755E-05  7.3737688E-03  1.0558645E-03  4.6186514E-06  3.8645288E-09  1.8683111E-03  3.1850420E-07  9.726E-06  7.244E-05  9.329E-05  9.382E-01  1.073E+00  6.20E+02  0.00E+00  2.67E+02  0.606005  0.034346  0.0000000E+00  2.2395589277E-01       4.222     4.96   -5.9728   -3.0608   -1.0594   -0.2971   -0.1280   -0.3749   -0.1933   -0.0307   -0.8184   -2.9119
