line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    3.400000  2.146351  4.155574  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832820E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2415  4.155574    0.000  1.651941  7.425779  7.3053479E-01  2.6128109E-01  1.0634613E-05  2.8415099E-06  2.1620188E-03  2.9102570E-03  7.1615866E-05  3.1173563E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.918E-04  1.833E-04  9.013E-01  1.208E+00  4.90E+02  0.00E+00  2.67E+02  0.735030  0.001181  0.0000000E+00  1.2288971766E-02       4.457     1.80   -0.6159    0.6793   -0.5031   -0.1560   -0.0571   -0.1870   -0.0832   -0.0136   -0.3448   -1.2952
  2  6.502922784081665E+06    3.400000  2.147964  4.154995  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832820E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2460  4.154995    0.000  1.635346  7.421373  7.2232726E-01  2.6957187E-01  1.3279155E-05  3.5530575E-06  2.7366317E-03  2.2543721E-03  6.6058401E-05  3.0918408E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.648E-04  1.975E-04  9.266E-01  1.161E+00  4.85E+02  0.00E+00  2.27E+02  0.652320  0.001188  0.0000000E+00  1.2288971766E-02       4.438     1.84   -0.6199    0.6691   -0.5017   -0.1556   -0.0568   -0.1863   -0.0829   -0.0136   -0.3434   -1.2890
  3  1.244582360231330E+07    3.400000  2.152251  4.153944  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832820E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2443  4.153944    0.000  1.628131  7.419936  7.1420077E-01  2.7775231E-01  1.4975956E-05  4.0005994E-06  3.1051923E-03  1.8383145E-03  5.7590493E-05  2.3598550E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.551E-04  2.008E-04  9.330E-01  1.145E+00  4.81E+02  0.00E+00  2.15E+02  0.627262  0.001199  0.0000000E+00  1.2288971766E-02       4.426     1.87   -0.6306    0.6484   -0.4990   -0.1548   -0.0564   -0.1852   -0.0823   -0.0135   -0.3410   -1.2791
  4  1.804658584228082E+07    3.400000  2.156608  4.152736  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832821E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2433  4.152736    0.000  1.623258  7.419213  7.0609971E-01  2.8589249E-01  1.6247761E-05  4.3390354E-06  3.3720155E-03  1.5384585E-03  4.9940807E-05  1.9584721E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.502E-04  2.004E-04  9.352E-01  1.140E+00  4.78E+02  0.00E+00  2.11E+02  0.618635  0.001212  0.0000000E+00  1.2288971766E-02       4.415     1.89   -0.6415    0.6265   -0.4958   -0.1539   -0.0560   -0.1839   -0.0817   -0.0134   -0.3382   -1.2680
  5  2.303893931621919E+07    3.400000  2.160583  4.151545  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832823E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2411  4.151545    0.000  1.619795  7.418912  6.9797821E-01  2.9404516E-01  1.7232945E-05  4.6021967E-06  3.5843276E-03  1.3002308E-03  4.3507759E-05  1.6847725E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.473E-04  1.992E-04  9.358E-01  1.138E+00  4.76E+02  0.00E+00  2.09E+02  0.616137  0.001223  0.0000000E+00  1.2288971766E-02       4.406     1.91   -0.6515    0.6057   -0.4926   -0.1530   -0.0555   -0.1826   -0.0811   -0.0133   -0.3356   -1.2572
  6  2.782342448982722E+07    3.400000  2.164810  4.150483  7.3354283E-01  2.5841427E-01  1.3046585E-03  1.5832872E-05  3.7643318E-04  3.2677001E-03  1.2946294E-06  7.3712804E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2394  4.150483    0.000  1.617455  7.418871  6.8987563E-01  3.0217249E-01  1.8049335E-05  4.8199296E-06  3.7522554E-03  1.1122024E-03  3.7932240E-05  1.4624006E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.450E-04  1.977E-04  9.359E-01  1.138E+00  4.74E+02  0.00E+00  2.08E+02  0.615723  0.001235  0.0000000E+00  1.2288971766E-02       4.397     1.93   -0.6620    0.5856   -0.4898   -0.1523   -0.0551   -0.1815   -0.0806   -0.0132   -0.3332   -1.2476
  7  3.259795463088138E+07    3.400000  2.169064  4.149496  7.3354283E-01  2.5841427E-01  1.3046576E-03  1.5833444E-05  3.7643369E-04  3.2677001E-03  1.2946302E-06  7.3712791E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2375  4.149496    0.000  1.615529  7.419046  6.8173326E-01  3.1033431E-01  1.8690123E-05  4.9910627E-06  3.8845484E-03  9.6438544E-04  3.3213161E-05  1.2782017E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.432E-04  1.962E-04  9.357E-01  1.138E+00  4.71E+02  0.00E+00  2.07E+02  0.616320  0.001247  0.0000000E+00  1.2288971766E-02       4.389     1.95   -0.6727    0.5661   -0.4872   -0.1515   -0.0548   -0.1804   -0.0801   -0.0131   -0.3310   -1.2388
  8  3.737528501238886E+07    3.400000  2.173396  4.148576  7.3354272E-01  2.5841427E-01  1.3046510E-03  1.5836798E-05  3.7643791E-04  3.2677000E-03  1.2946397E-06  7.3712681E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2358  4.148576    0.000  1.614076  7.419383  6.7364705E-01  3.1843575E-01  1.9183075E-05  5.1230309E-06  3.9880129E-03  8.4899733E-04  2.9305522E-05  1.1266703E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.415E-04  1.948E-04  9.355E-01  1.139E+00  4.69E+02  0.00E+00  2.06E+02  0.617373  0.001260  0.0000000E+00  1.2288971766E-02       4.381     1.97   -0.6835    0.5470   -0.4847   -0.1509   -0.0544   -0.1795   -0.0796   -0.0131   -0.3289   -1.2305
  9  4.218143465270091E+07    3.400000  2.177889  4.147727  7.3354254E-01  2.5841427E-01  1.3046326E-03  1.5845092E-05  3.7645120E-04  3.2676993E-03  1.2946767E-06  7.3712343E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2341  4.147727    0.000  1.612993  7.419867  6.6557112E-01  3.2652391E-01  1.9598044E-05  5.2342008E-06  4.0707394E-03  7.5680115E-04  2.6076273E-05  1.0027805E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.400E-04  1.933E-04  9.351E-01  1.140E+00  4.67E+02  0.00E+00  2.06E+02  0.618878  0.001274  0.0000000E+00  1.2288971766E-02       4.374     1.98   -0.6947    0.5282   -0.4824   -0.1502   -0.0541   -0.1786   -0.0791   -0.0130   -0.3270   -1.2229
