line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    5.500000  2.866378  4.259692  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832820E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2821  4.259692   -3.229  1.396401  7.474741  7.3053675E-01  2.6130372E-01  1.3855367E-05  3.7547878E-06  2.3002772E-03  2.7895312E-03  2.6243960E-05  3.0806306E-08  1.0725085E-03  8.6747623E-05  0.000E+00  2.056E-04  1.994E-04  7.966E-01  1.558E+00  5.43E+02  0.00E+00  4.24E+02  0.933293  0.003825  0.0000000E+00  4.3074159758E-02       4.428     2.37   -2.4159   -0.3783   -0.7460   -0.2235   -0.0917   -0.2816   -0.1347   -0.0216   -0.5671   -2.0377
  2  2.209522876960865E+06    5.499999  2.871004  4.269891  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832820E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2823  4.269891   -3.255  1.378217  7.470088  7.2234811E-01  2.6959186E-01  1.7042882E-05  4.5764358E-06  2.9865740E-03  2.0040059E-03  2.1911353E-05  1.6231572E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.715E-04  2.185E-04  8.774E-01  1.266E+00  5.39E+02  0.00E+00  3.27E+02  0.798130  0.003869  0.0000000E+00  4.3073996161E-02       4.414     2.41   -2.4275   -0.3541   -0.7632   -0.2282   -0.0941   -0.2878   -0.1381   -0.0220   -0.5811   -2.0734
  3  4.099506474461394E+06    5.499998  2.875464  4.268559  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832821E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2804  4.268559   -3.250  1.369648  7.468207  7.1424510E-01  2.7775386E-01  1.9185371E-05  5.1420218E-06  3.3917440E-03  1.5412443E-03  1.7824789E-05  1.0120655E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.653E-04  2.166E-04  8.822E-01  1.251E+00  5.35E+02  0.00E+00  3.18E+02  0.786714  0.003909  0.0000000E+00  4.3073889647E-02       4.401     2.45   -2.4387   -0.3711   -0.7610   -0.2276   -0.0938   -0.2871   -0.1377   -0.0219   -0.5794   -2.0676
  4  5.863606264785741E+06    5.499997  2.880048  4.267100  7.3354283E-01  2.5841427E-01  1.3046583E-03  1.5833002E-05  3.7643332E-04  3.2677001E-03  1.2946295E-06  7.3712799E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2782  4.267100   -3.245  1.364222  7.467287  7.0604879E-01  2.8599104E-01  2.0707077E-05  5.5492515E-06  3.6720500E-03  1.2213775E-03  1.4618718E-05  8.1111857E-09  1.0725085E-03  8.6747623E-05  0.000E+00  1.622E-04  2.141E-04  8.824E-01  1.250E+00  5.32E+02  0.00E+00  3.16E+02  0.786159  0.003952  0.0000000E+00  4.3073783890E-02       4.390     2.48   -2.4501   -0.3887   -0.7585   -0.2270   -0.0934   -0.2862   -0.1373   -0.0219   -0.5775   -2.0614
  5  7.603211851926361E+06    5.499996  2.884825  4.265926  7.3354283E-01  2.5841427E-01  1.3046488E-03  1.5837486E-05  3.7643997E-04  3.2676997E-03  1.2946405E-06  7.3712593E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2762  4.265926   -3.239  1.360718  7.466993  6.9796530E-01  2.9410279E-01  2.1760461E-05  5.8316231E-06  3.8659206E-03  1.0003294E-03  1.2203225E-05  6.7150846E-09  1.0725085E-03  8.6747623E-05  0.000E+00  1.599E-04  2.118E-04  8.818E-01  1.251E+00  5.29E+02  0.00E+00  3.15E+02  0.787437  0.003996  0.0000000E+00  4.3073672247E-02       4.381     2.50   -2.4621   -0.4058   -0.7565   -0.2265   -0.0932   -0.2855   -0.1369   -0.0219   -0.5760   -2.0562
  6  9.364007205403741E+06    5.499995  2.889658  4.264914  7.3354273E-01  2.5841430E-01  1.3045729E-03  1.5866592E-05  3.7650271E-04  3.2676943E-03  1.2947765E-06  7.3710726E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2734  4.264914   -3.234  1.358075  7.467078  6.8975938E-01  3.0232964E-01  2.2566088E-05  6.0474203E-06  4.0090889E-03  8.3713922E-04  1.0319657E-05  5.6568371E-09  1.0725085E-03  8.6747623E-05  0.000E+00  1.579E-04  2.099E-04  8.813E-01  1.253E+00  5.27E+02  0.00E+00  3.14E+02  0.789010  0.004041  0.0000000E+00  4.3073557240E-02       4.373     2.53   -2.4741   -0.4225   -0.7547   -0.2260   -0.0930   -0.2849   -0.1366   -0.0218   -0.5746   -2.0516
  7  1.105471320029634E+07    5.499994  2.894574  4.264037  7.3354231E-01  2.5841456E-01  1.3042645E-03  1.5964169E-05  3.7678718E-04  3.2676630E-03  1.2955126E-06  7.3702322E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2716  4.264037   -3.228  1.356307  7.467351  6.8169908E-01  3.1040570E-01  2.3172058E-05  6.2099513E-06  4.1171529E-03  7.1402038E-04  8.8400456E-06  4.8293352E-09  1.0725085E-03  8.6747623E-05  0.000E+00  1.562E-04  2.082E-04  8.804E-01  1.255E+00  5.24E+02  0.00E+00  3.14E+02  0.790974  0.004087  0.0000000E+00  4.3073437323E-02       4.365     2.55   -2.4864   -0.4389   -0.7532   -0.2256   -0.0928   -0.2844   -0.1363   -0.0218   -0.5734   -2.0475
  8  1.273995912945917E+07    5.499993  2.899524  4.263318  7.3354122E-01  2.5841545E-01  1.3034139E-03  1.6190520E-05  3.7763862E-04  3.2675508E-03  1.2980090E-06  7.3677254E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2694  4.263318   -3.222  1.354892  7.467794  6.7366901E-01  3.1844765E-01  2.3651605E-05  6.3387984E-06  4.1985409E-03  6.2130000E-04  7.6780205E-06  4.2143067E-09  1.0725085E-03  8.6747623E-05  0.000E+00  1.545E-04  2.067E-04  8.797E-01  1.257E+00  5.22E+02  0.00E+00  3.14E+02  0.792728  0.004135  0.0000000E+00  4.3073309434E-02       4.357     2.57   -2.4988   -0.4548   -0.7519   -0.2252   -0.0926   -0.2839   -0.1360   -0.0218   -0.5724   -2.0440
  9  1.442483081631181E+07    5.499992  2.904533  4.262583  7.3353884E-01  2.5841745E-01  1.3017606E-03  1.6574495E-05  3.7938502E-04  3.2672950E-03  1.3037024E-06  7.3626060E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2671  4.262583   -3.216  1.353766  7.468378  6.6552906E-01  3.2659715E-01  2.4076092E-05  6.4524041E-06  4.2635093E-03  5.4723034E-04  6.7359823E-06  3.6883726E-09  1.0725085E-03  8.6747623E-05  0.000E+00  1.530E-04  2.051E-04  8.788E-01  1.259E+00  5.19E+02  0.00E+00  3.13E+02  0.794730  0.004183  0.0000000E+00  4.3073178165E-02       4.350     2.59   -2.5113   -0.4709   -0.7505   -0.2249   -0.0924   -0.2835   -0.1358   -0.0217   -0.5714   -2.0404
